Step,RAC,ent1,prop1,ent2,prop2,ent3,prop3,
1,0,1.75001,1,-0.887628,0.999999,-0.362378,1,
2,0,1.58298,1,-0.836525,1,-0.268868,0.999999,
3,0,1.40612,1,-0.751337,1,-0.201505,1,
4,0,1.22995,1,-0.649762,1,-0.152196,0.999999,
5,0,1.06227,1,-0.544413,1,-0.115062,1,
6,0,0.908207,1,-0.443489,0.999999,-0.0860844,0.999999,
7,0,0.770585,1,-0.351716,1,-0.0626387,0.999996,
8,0,0.650415,1,-0.271306,0.999999,-0.0430727,1,
9,0,0.547417,0.999999,-0.202782,0.999998,-0.0263696,1,
10,0,0.460475,1,-0.145628,1,-0.0119062,0.999991,
11,0,0.388008,0.999999,-0.0987613,1,0.000708431,0.999746,
12,0,0.328239,0.999999,-0.0608551,1,0.0117345,1.00002,
13,0,0.279378,0.999998,-0.0305382,0.999999,0.0213616,0.999993,
14,0,0.239733,1,-0.00651574,1.00003,0.0297426,1.00001,
15,0.0123714,0.207772,0.999998,0.0123714,0.999981,0.0370113,1,
16,0.0271244,0.182153,1,0.0271244,0.999992,0.0432899,1.00001,
17,0.0385845,0.161719,1,0.0385845,0.999997,0.0486928,1,
18,0.047446,0.145496,0.999999,0.047446,0.999995,0.0533264,1,
19,0.0542726,0.132671,0.999996,0.0542726,1,0.0572899,0.999996,
20,0.0595166,0.122576,1,0.0595166,0.999995,0.0606737,1,
21,0.063537,0.114662,0.999998,0.063537,0.999999,0.0635598,1,
22,0.0660214,0.108486,1,0.0666172,1,0.0660214,1,
23,0.068123,0.103687,1,0.0689784,1,0.068123,0.999998,
24,0.0699214,0.0999788,1,0.070793,0.999999,0.0699214,0.999997,
25,0.0714657,0.0971292,0.999994,0.0721939,1.00001,0.0714657,0.999997,
26,0.0727976,0.0949549,0.999994,0.0732834,1,0.0727976,1,
27,0.0739531,0.0933097,1,0.0741399,1,0.0739531,0.999997,
28,0.0748228,0.0920781,0.999997,0.0748228,1,0.0749628,1,
29,0.0753773,0.0911684,0.999998,0.0753773,1,0.0758522,0.999998,
30,0.0758377,0.0905089,1,0.0758377,0.999996,0.0766427,1,
31,0.0762292,0.0900428,0.999999,0.0762292,1.00001,0.0773522,1,
32,0.0765709,0.0897258,1,0.0765709,1.00001,0.0779956,0.999999,
33,0.0768768,0.0895234,1.00001,0.0768768,1,0.0785849,1,
34,0.0771575,0.0894084,1,0.0771575,0.999994,0.0791304,0.999997,
35,0.0774202,0.0893599,0.999999,0.0774202,0.999998,0.0796405,1,
36,0.0776707,0.0893612,1.00001,0.0776707,0.999996,0.0801218,0.999999,
37,0.0779124,0.0894003,0.999995,0.0779124,1,0.0805797,0.999994,
38,0.0781488,0.0894668,0.999998,0.0781488,1,0.0810187,1,
39,0.0783812,0.0895535,1,0.0783812,0.999994,0.0814427,1,
40,0.0786108,0.0896548,1,0.0786108,0.999996,0.0818543,1,
41,0.0788387,0.0897663,1,0.0788387,1,0.082256,1,
42,0.0790656,0.0898845,0.999996,0.0790656,0.999997,0.0826496,0.999998,
