Step,RAC,ent1,ent2,ent3,ent4,
1,0,-1.05341,0.00163865,0.241676,0.0467294,
2,0,-0.978244,0.401596,0.0798994,-0.00491762,
3,0,-0.9218,0.738534,-0.0725703,-0.0253527,
4,0,-0.880515,1.02376,-0.215389,-0.0223523,
5,0,-0.851538,1.26619,-0.348429,-0.00192618,
6,0,-0.832565,1.47294,-0.471731,0.0312574,
7,0,-0.821714,1.64973,-0.585449,0.0735501,
8,0,-0.817432,1.80121,-0.689827,0.122095,
9,0,-0.818441,1.93119,-0.785167,0.174658,
10,0,-0.823673,2.04278,-0.871814,0.229486,
11,0,-0.832233,2.13859,-0.950143,0.285208,
12,0,-0.843373,2.22078,-1.02054,0.340759,
13,0,-0.856469,2.29118,-1.08342,0.395321,
14,0,-0.870991,2.35131,-1.13917,0.448264,
15,0,-0.886497,2.40248,-1.18819,0.49912,
16,0,-0.902622,2.4458,-1.23087,0.547547,
17,0,-0.919058,2.4822,-1.26761,0.593305,
18,0,-0.935548,2.51252,-1.29877,0.63623,
19,0,-0.951882,2.53745,-1.3247,0.676227,
20,0,-0.96789,2.5576,-1.34576,0.713255,
21,0,-0.98343,2.57352,-1.36227,0.747313,
22,0,-0.998392,2.58565,-1.37454,0.778429,
23,0,-1.01269,2.59441,-1.38288,0.806665,
24,0,-1.02626,2.60015,-1.38758,0.832093,
25,0,-1.03904,2.6032,-1.38889,0.854807,
26,0,-1.05101,2.60382,-1.38708,0.87491,
27,0,-1.06215,2.60228,-1.38239,0.89251,
28,0,-1.07243,2.59878,-1.37504,0.907724,
29,0,-1.08186,2.59353,-1.36525,0.920674,
30,0,-1.09045,2.58669,-1.35322,0.93148,
31,0,-1.09821,2.57844,-1.33914,0.94026,
32,0,-1.10515,2.5689,-1.32318,0.947133,
33,0,-1.11129,2.55821,-1.30551,0.95222,
34,0,-1.11666,2.54649,-1.28629,0.955632,
35,0,-1.12128,2.53382,-1.26567,0.957483,
36,0,-1.12518,2.52032,-1.24378,0.957883,
37,0,-1.12839,2.50606,-1.22074,0.956932,
38,0,-1.13095,2.49112,-1.19669,0.954735,
39,0,-1.13288,2.47557,-1.17173,0.951386,
40,0,-1.13421,2.45948,-1.14597,0.946976,
41,0,-1.13498,2.4429,-1.1195,0.941597,
42,0,-1.13522,2.42589,-1.09242,0.93533,
43,0,-1.13496,2.40849,-1.06481,0.928252,
44,0,-1.13423,2.39075,-1.03674,0.920442,
45,0,-1.13306,2.37271,-1.0083,0.911972,
46,0,-1.13147,2.35442,-0.979549,0.902906,
47,0,-1.1295,2.33589,-0.950552,0.893307,
48,0,-1.12718,2.31717,-0.92137,0.883237,
49,0,-1.12452,2.29828,-0.892056,0.872753,
50,0,-1.12156,2.27925,-0.862662,0.861909,
51,0,-1.11832,2.2601,-0.833235,0.850752,
52,0,-1.11482,2.24086,-0.803819,0.839332,
53,0,-1.11109,2.22155,-0.774454,0.827689,
54,0,-1.10715,2.20219,-0.745179,0.81587,
55,0,-1.10301,2.18279,-0.716027,0.803906,
56,0,-1.09869,2.16337,-0.687029,0.791838,
57,0,-1.09423,2.14395,-0.658216,0.779698,
58,0,-1.08962,2.12454,-0.629614,0.767513,
59,0,-1.0849,2.10515,-0.601247,0.755317,
60,0,-1.08006,2.0858,-0.573139,0.743133,
