Step,1,2,3,4,5,6,1+3=4,2+3=5,1+5=6,2+4=6,3+3=6,RAC0,RAC1,RAC2,RAC3,
1,0.840083,59.7247,0.0459496,1.00648,1.93422,0.261647,0.48469,31.7702,0.25,0.251719,-0.244281,0.00387248,0,0,0,
2,1.14534,59.4576,0.12152,0.990806,1.80896,0.327085,0.023192,-0.459925,1.36326,0.232768,-0.261635,0,0,0,0,
3,1.42447,59.1139,0.116432,0.984017,1.74686,0.404245,0.124012,2.07259,1.74479,0.157452,-0.327001,0,0,0,0,
4,1.68346,58.778,0.119726,0.982764,1.66602,0.489971,0.150788,1.95065,2.08411,0.0741901,-0.404167,0,0,0,0,
5,1.92743,58.441,0.122457,0.987757,1.58125,0.578069,0.186508,2.11452,2.31471,-0.01486,-0.489889,0,0,0,0,
6,2.16033,58.1032,0.125296,0.998864,1.49598,0.664658,0.220904,2.26333,2.46969,-0.103282,-0.577983,0,0,0,0,
7,2.38509,57.7642,0.127955,1.01584,1.41322,0.747166,0.255388,2.41501,2.56715,-0.187308,-0.664568,0,0,0,0,
8,2.60385,57.424,0.130343,1.0383,1.33471,0.824099,0.289631,2.55746,2.62349,-0.264535,-0.747072,0,0,0,0,
9,2.81809,57.0827,0.132407,1.0658,1.26138,0.894741,0.323498,2.68628,2.65128,-0.333703,-0.824002,0,0,0,0,
10,3.02881,56.7404,0.13413,1.09785,1.19359,0.958904,0.356818,2.799,2.65993,-0.394349,-0.89464,0,0,0,0,
11,3.23671,56.3974,0.135518,1.13398,1.13131,1.01675,0.389447,2.89495,2.65624,-0.446554,-0.958801,0,0,0,0,
12,3.44221,56.0539,0.136592,1.17373,1.07431,1.06865,0.42127,2.97456,2.64498,-0.490739,-1.01665,0,0,0,0,
13,3.64559,55.71,0.13738,1.21665,1.0222,1.11508,0.452207,3.03889,2.62934,-0.527518,-1.06854,0,0,0,0,
14,3.84703,55.366,0.137914,1.26236,0.974546,1.15656,0.482203,3.08935,2.61143,-0.557598,-1.11497,0,0,0,0,
15,4.04663,55.0221,0.138225,1.31048,0.930911,1.19361,0.511231,3.1275,2.59255,-0.581707,-1.15645,0,0,0,0,
16,4.24448,54.6783,0.138345,1.36071,0.890868,1.22673,0.539284,3.15487,2.57344,-0.600552,-1.1935,0,0,0,0,
17,4.44061,54.335,0.1383,1.41274,0.854024,1.25638,0.56637,3.1729,2.55454,-0.614792,-1.22662,0,0,0,0,
18,4.63508,53.9921,0.138116,1.46632,0.820024,1.28296,0.592509,3.18291,2.53601,-0.625029,-1.25627,0,0,0,0,
19,4.82791,53.6498,0.137814,1.52122,0.788556,1.30684,0.617728,3.18609,2.51791,-0.6318,-1.28285,0,0,0,0,
20,5.01913,53.3081,0.137413,1.57724,0.759346,1.32833,0.642062,3.18345,2.50023,-0.63558,-1.30673,0,0,0,0,
21,5.20879,52.9672,0.136929,1.63421,0.732157,1.34772,0.665545,3.17589,2.48292,-0.636784,-1.32822,0,0,0,0,
22,5.39692,52.6271,0.136377,1.69197,0.706782,1.36525,0.688216,3.16415,2.46593,-0.635775,-1.34761,0,0,0,0,
23,5.58355,52.288,0.135769,1.75038,0.683044,1.38112,0.710113,3.1489,2.4492,-0.63287,-1.36514,0,0,0,0,
24,5.76872,51.9497,0.135114,1.80932,0.660788,1.39552,0.731272,3.13069,2.4327,-0.628341,-1.38101,0,0,0,0,
25,5.95247,51.6124,0.134421,1.86869,0.639877,1.40861,0.751731,3.11,2.41638,-0.622428,-1.39541,0,0,0,0,
26,6.13482,51.2762,0.133698,1.92838,0.620195,1.42053,0.771525,3.08722,2.40024,-0.615338,-1.4085,0,0,0,0,
27,6.31582,50.941,0.132951,1.98831,0.601638,1.4314,0.790687,3.0627,2.38426,-0.607251,-1.42043,0,0,0,0,
28,6.49548,50.6069,0.132185,2.04842,0.584113,1.44133,0.80925,3.03673,2.36844,-0.598325,-1.4313,0,0,0,0,
29,6.67385,50.2739,0.131405,2.10864,0.567539,1.45041,0.827242,3.00958,2.35277,-0.588697,-1.44123,0,0,0,0,
30,6.85095,49.942,0.130615,2.16891,0.551844,1.45873,0.844695,2.98145,2.33727,-0.578489,-1.45031,0,0,0,0,
31,7.0268,49.6114,0.129819,2.22918,0.536963,1.46635,0.861633,2.95253,2.32193,-0.567806,-1.45863,0,0,0,0,
32,7.20143,49.2819,0.129019,2.2894,0.522835,1.47336,0.878083,2.92298,2.30678,-0.556741,-1.46626,0,0.00953174,0,0,
33,7.37486,48.9537,0.128217,2.34955,0.509409,1.4798,0.894068,2.89295,2.2918,-0.545374,-1.47326,0,0.0535812,0,0,
34,7.54711,48.6266,0.127416,2.40959,0.496635,1.48573,0.909612,2.86254,2.27702,-0.533778,-1.47971,0,0.0968699,0,0,
35,7.71821,48.3009,0.126618,2.46948,0.48447,1.49119,0.924733,2.83186,2.26243,-0.522014,-1.48563,0,0.139402,0,0,
36,7.88815,47.9764,0.125823,2.5292,0.472874,1.49622,0.939453,2.80101,2.24805,-0.510138,-1.4911,0,0.18118,0,0,
37,8.05698,47.6531,0.125034,2.58874,0.46181,1.50087,0.953789,2.77005,2.23388,-0.498197,-1.49613,0,0.222212,0,0,
38,8.22469,47.3312,0.12425,2.64807,0.451243,1.50516,0.967758,2.73906,2.21992,-0.486234,-1.50078,0,0.262505,0,0,
39,8.3913,47.0106,0.123474,2.70717,0.441144,1.50913,0.981375,2.70808,2.20617,-0.474285,-1.50507,0,0.302071,0,0,
40,8.55683,46.6913,0.122705,2.76604,0.431483,1.5128,0.994657,2.67717,2.19264,-0.462381,-1.50904,0,0.340919,0,0,
41,8.72129,46.3733,0.121944,2.82466,0.422233,1.51619,1.00761,2.64636,2.17933,-0.450551,-1.51271,0,0.379063,0,0,
42,8.88469,46.0567,0.121192,2.88303,0.41337,1.51933,1.02026,2.6157,2.16623,-0.438817,-1.5161,0,0.416513,0,0,
43,9.04704,45.7414,0.120448,2.94113,0.404871,1.52223,1.03261,2.5852,2.15334,-0.427202,-1.51924,0,0.431864,0,0,
44,9.20836,45.4275,0.119713,2.99896,0.396716,1.52491,1.04467,2.5549,2.14066,-0.415721,-1.52215,0,0.414243,0,0,
45,9.36864,45.1149,0.118988,3.05651,0.388884,1.52739,1.05645,2.52482,2.12819,-0.40439,-1.52483,0,0.39663,0,0,
46,9.52791,44.8038,0.118272,3.11378,0.381357,1.52968,1.06796,2.49497,2.11593,-0.393222,-1.52731,0,0.379045,0,0,
47,9.68618,44.494,0.117565,3.17077,0.374118,1.53178,1.07921,2.46537,2.10386,-0.382226,-1.5296,0,0.361508,0,0,
48,9.84344,44.1856,0.116867,3.22748,0.367152,1.53372,1.09021,2.43603,2.09199,-0.371413,-1.53171,0,0.344033,0,0,
49,9.99972,43.8786,0.116178,3.28389,0.360442,1.5355,1.10096,2.40695,2.08031,-0.360787,-1.53365,0,0.326637,0,0,
50,10.155,43.573,0.115498,3.34002,0.353976,1.53713,1.11147,2.37815,2.06882,-0.350356,-1.53543,0,0.309329,0,0,
51,10.3093,43.2688,0.114827,3.39587,0.347741,1.53862,1.12175,2.34962,2.0575,-0.340123,-1.53706,0,0.292122,0,0,
52,10.4627,42.9661,0.114164,3.45142,0.341723,1.53997,1.1318,2.32138,2.04636,-0.330091,-1.53854,0,0.275024,0,0,
53,10.6151,42.6648,0.11351,3.50669,0.335912,1.54118,1.14162,2.29343,2.03538,-0.320263,-1.53989,0,0.258045,0,0,
54,10.7666,42.3649,0.112863,3.56167,0.330297,1.54228,1.15123,2.26576,2.02457,-0.31064,-1.54111,0,0.241192,0,0,
55,10.9171,42.0664,0.112225,3.61637,0.324868,1.54324,1.16062,2.23837,2.0139,-0.301222,-1.5422,0,0.224471,0,0,
56,11.0668,41.7693,0.111594,3.67078,0.319616,1.54409,1.16981,2.21128,2.00339,-0.29201,-1.54317,0,0.207887,0,0,
57,11.2155,41.4737,0.11097,3.72491,0.314531,1.54483,1.17878,2.18446,1.99301,-0.283002,-1.54402,0,0.191448,0,0,
58,11.3633,41.1796,0.110354,3.77876,0.309605,1.54545,1.18755,2.15793,1.98278,-0.274197,-1.54476,0,0.175155,0,0,
59,11.5102,40.8869,0.109744,3.83233,0.30483,1.54596,1.19612,2.13168,1.97267,-0.265593,-1.54538,0,0.159014,0,0,
60,11.6562,40.5956,0.109141,3.88562,0.3002,1.54637,1.2045,2.10571,1.96268,-0.257189,-1.5459,0,0.143029,0,0,
61,11.8013,40.3058,0.108543,3.93863,0.295706,1.54667,1.21267,2.08001,1.95281,-0.248982,-1.5463,0,0.127201,0,0,
62,11.9456,40.0175,0.107952,3.99137,0.291343,1.54687,1.22065,2.05458,1.94305,-0.24097,-1.5466,0,0.111535,0,0,
63,12.089,39.7306,0.107367,4.04383,0.287104,1.54696,1.22845,2.02943,1.93339,-0.233149,-1.5468,0,0.0960327,0,0,
64,12.2316,39.4452,0.106787,4.09602,0.282983,1.54695,1.23605,2.00453,1.92384,-0.225516,-1.5469,0,0.0806954,0,0,
65,12.3733,39.1613,0.106212,4.14794,0.278975,1.54685,1.24346,1.9799,1.91437,-0.218069,-1.54689,0,0.0655279,0,0,
